"filename", "language", "Markdown", "C", "C++", "CMake", "Makefile", "comment", "blank", "total"
"d:\Programacion\CLearning\CHANGELOG.md", "Markdown", 111, 0, 0, 0, 0, 0, 23, 134
"d:\Programacion\CLearning\CMakeLists.txt", "CMake", 0, 0, 0, 18, 0, 0, 6, 24
"d:\Programacion\CLearning\DIARY.md", "Markdown", 99, 0, 0, 0, 0, 0, 30, 129
"d:\Programacion\CLearning\DOCUMENTATION.md", "Markdown", 365, 0, 0, 0, 0, 0, 105, 470
"d:\Programacion\CLearning\Makefile", "Makefile", 0, 0, 0, 0, 71, 44, 41, 156
"d:\Programacion\CLearning\README.md", "Markdown", 76, 0, 0, 0, 0, 0, 32, 108
"d:\Programacion\CLearning\ROADMAP.md", "Markdown", 103, 0, 0, 0, 0, 0, 30, 133
"d:\Programacion\CLearning\common\CMakeLists.txt", "CMake", 0, 0, 0, 12, 0, 0, 3, 15
"d:\Programacion\CLearning\common\Makefile", "Makefile", 0, 0, 0, 0, 64, 40, 38, 142
"d:\Programacion\CLearning\common\README.md", "Markdown", 44, 0, 0, 0, 0, 0, 22, 66
"d:\Programacion\CLearning\common\lookForRootFiles.c", "C", 0, 43, 0, 0, 0, 0, 8, 51
"d:\Programacion\CLearning\common\lookForRootFiles.h", "C++", 0, 0, 9, 0, 0, 0, 0, 9
"d:\Programacion\CLearning\common\map.c", "C", 0, 33, 0, 0, 0, 4, 4, 41
"d:\Programacion\CLearning\common\map.h", "C++", 0, 0, 13, 0, 0, 3, 7, 23
"d:\Programacion\CLearning\common\screenManagment.c", "C", 0, 9, 0, 0, 0, 0, 4, 13
"d:\Programacion\CLearning\common\screenManagment.h", "C++", 0, 0, 7, 0, 0, 0, 0, 7
"d:\Programacion\CLearning\common\stringManipulation.c", "C", 0, 17, 0, 0, 0, 3, 7, 27
"d:\Programacion\CLearning\common\stringManipulation.h", "C++", 0, 0, 7, 0, 0, 0, 1, 8
"d:\Programacion\CLearning\projects\cba\CMakeLists.txt", "CMake", 0, 0, 0, 5, 0, 0, 1, 6
"d:\Programacion\CLearning\projects\cba\README.md", "Markdown", 22, 0, 0, 0, 0, 0, 16, 38
"d:\Programacion\CLearning\projects\cba\cba.c", "C", 0, 156, 0, 0, 0, 11, 17, 184
"d:\Programacion\CLearning\projects\cba\cba.h", "C++", 0, 0, 23, 0, 0, 0, 3, 26
"d:\Programacion\CLearning\projects\cba\main.c", "C", 0, 18, 0, 0, 0, 1, 2, 21
"d:\Programacion\CLearning\projects\cba\ui.c", "C", 0, 84, 0, 0, 0, 9, 7, 100
"d:\Programacion\CLearning\projects\cba\ui.h", "C++", 0, 0, 13, 0, 0, 0, 0, 13
"d:\Programacion\CLearning\projects\cl\CMakeLists.txt", "CMake", 0, 0, 0, 5, 0, 0, 1, 6
"d:\Programacion\CLearning\projects\cl\README.md", "Markdown", 49, 0, 0, 0, 0, 0, 22, 71
"d:\Programacion\CLearning\projects\cl\cl.c", "C", 0, 46, 0, 0, 0, 6, 3, 55
"d:\Programacion\CLearning\projects\cl\cl.h", "C++", 0, 0, 5, 0, 0, 0, 0, 5
"d:\Programacion\CLearning\projects\cl\main.c", "C", 0, 5, 0, 0, 0, 0, 2, 7
"d:\Programacion\CLearning\projects\cl\packageManager.c", "C", 0, 0, 0, 0, 0, 8, 1, 9
"d:\Programacion\CLearning\projects\cl\packageManager.h", "C++", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Programacion\CLearning\projects\cxt\CMakeLists.txt", "CMake", 0, 0, 0, 5, 0, 0, 1, 6
"d:\Programacion\CLearning\projects\cxt\Makefile", "Makefile", 0, 0, 0, 0, 91, 46, 47, 184
"d:\Programacion\CLearning\projects\cxt\README.md", "Markdown", 57, 0, 0, 0, 0, 0, 18, 75
"d:\Programacion\CLearning\projects\cxt\main.c", "C", 0, 42, 0, 0, 0, 1, 1, 44
"d:\Programacion\CLearning\projects\cxt\map.h", "C++", 0, 0, 11, 0, 0, 2, 3, 16
"d:\Programacion\CLearning\projects\cxt\readFile.c", "C", 0, 100, 0, 0, 0, 0, 11, 111
"d:\Programacion\CLearning\projects\cxt\readFile.h", "C++", 0, 0, 10, 0, 0, 0, 0, 10
"d:\Programacion\CLearning\projects\cxt\txtFunctions.c", "C", 0, 163, 0, 0, 0, 30, 19, 212
"d:\Programacion\CLearning\projects\cxt\txtFunctions.h", "C++", 0, 0, 24, 0, 0, 9, 2, 35
"d:\Programacion\CLearning\projects\cxt\ui.c", "C", 0, 90, 0, 0, 0, 2, 5, 97
"d:\Programacion\CLearning\projects\cxt\ui.h", "C++", 0, 0, 14, 0, 0, 0, 1, 15
"d:\Programacion\CLearning\projects\cxt\writeFile.c", "C", 0, 53, 0, 0, 0, 2, 9, 64
"d:\Programacion\CLearning\projects\cxt\writeFile.h", "C++", 0, 0, 16, 0, 0, 3, 1, 20
"d:\Programacion\CLearning\projects\hub\CMakeLists.txt", "CMake", 0, 0, 0, 5, 0, 0, 1, 6
"d:\Programacion\CLearning\projects\hub\README.md", "Markdown", 32, 0, 0, 0, 0, 0, 17, 49
"d:\Programacion\CLearning\projects\hub\hub.c", "C", 0, 25, 0, 0, 0, 0, 1, 26
"d:\Programacion\CLearning\projects\hub\hub.h", "C++", 0, 0, 7, 0, 0, 0, 0, 7
"d:\Programacion\CLearning\projects\hub\main.c", "C", 0, 7, 0, 0, 0, 0, 1, 8
"d:\Programacion\CLearning\projects\hub\ui.c", "C", 0, 19, 0, 0, 0, 1, 1, 21
"d:\Programacion\CLearning\projects\hub\ui.h", "C++", 0, 0, 5, 0, 0, 0, 0, 5
"Total", "-", 958, 910, 164, 50, 226, 225, 576, 3109
